=== Test Case Setup ===
{simCfg:{nbTxsCoef:320 txSizeCoef:1000 minimumFeeRate:0 feeRateCoef:25000 feeRateHistReportValues:[]} estCfg:{maxConfirms:32 minBucketFee:100 maxBucketFee:400000 feeRateStep:1.1} testMinConfs:[1 2 4 6 8 12 16 32]}

=== Fees to use for minConf confirmations ===
           1           2           4           6           8          12          16          32
  0.00046736  0.00031933  0.00024006  0.00019848  0.00014911  0.00011201  0.00010181  0.00002438

=== Histograms for simulated data ===
Block Size Histogram
    0.26    0.43    0.74    1.26    2.13    3.63    6.17   10.49   17.83   30.30   51.52   87.58  148.89  253.11  390.93
       3       0       0       0       1       4       1      10       4      11      18      37      68   25762       0
    0.01    0.00    0.00    0.00    0.00    0.02    0.00    0.04    0.02    0.04    0.07    0.14    0.26   99.39    0.00

Tx Size Histogram
    0.26    0.43    0.74    1.26    2.13    3.63    6.17   10.49   17.83   30.30   51.52   87.58  148.89  253.11  390.93
 1626035 1751922 1992066 1719548  949700  252549   21279     520     305     238       0       0       0       0       0
   19.56   21.07   23.96   20.68   11.42    3.04    0.26    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00

Fee Rate Histogram
   0.00000010   0.00037509   0.00075008   0.00112507   0.00150006   0.00187505   0.00225004   0.00262503   0.00300002   0.00337501
      6461563      1439944       320849        71375        15808         3587          827          161           39            0
        77.72        17.32         3.86         0.86         0.19         0.04         0.01         0.00         0.00         0.00

Tx per block Histogram
       1       2       4       8      16      32      64     128     256     512    1024    2048    4096
       3       4       4       6       9      23      45     102   25723       0       0       0       0
    0.01    0.02    0.02    0.02    0.03    0.09    0.17    0.39   99.24    0.00    0.00    0.00    0.00

Mining Interval Histogram
          1          2          3          4          6         10         16         32         64 2147483647
    4493457     907645     461337     293346     357701     375358     278750     325490     246311     511955
      54.46      11.00       5.59       3.56       4.34       4.55       3.38       3.94       2.99       6.20

Block Counts
  total = 25919  w/ filled mempool = 25684 (99.09%)  longest mine delay = 15826

=== Internal Estimator State ===
          |                1|                2|                3|                4|                5|                6|                7|                8|                9|               10|               11|               12|               13|               14|               15|               16|               17|               18|               19|               20|               21|               22|               23|               24|               25|               26|               27|               28|               29|               30|               31|             +Inf
0.00000673| 0.00000640     0| 0.00000640     0| 0.00000641     0| 0.00000641     0| 0.00000642     0| 0.00000642     0| 0.00000642     0| 0.00000642     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000641     0| 0.00000642     0| 0.00000642     0| 0.00000641     0| 0.00000641     0| 0.00000642     0| 0.00000642     0| 0.00000642     0| 0.00000642     0| 0.00000642     0| 0.00000642     0
0.00000740| 0.00000707     0| 0.00000708     0| 0.00000708     0| 0.00000709     0| 0.00000708     0| 0.00000707     0| 0.00000706     0| 0.00000707     0| 0.00000707     0| 0.00000707     0| 0.00000707     0| 0.00000706     0| 0.00000706     0| 0.00000706     0| 0.00000706     0| 0.00000706     0| 0.00000730     0| 0.00000730     0| 0.00000730     0| 0.00000730     0| 0.00000730     0| 0.00000730     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000733     0| 0.00000735    72
0.00000814| 0.00000773     1| 0.00000773     1| 0.00000784     2| 0.00000783     2| 0.00000783     3| 0.00000783     3| 0.00000783     3| 0.00000782     3| 0.00000783     3| 0.00000784     4| 0.00000784     4| 0.00000784     4| 0.00000784     4| 0.00000784     4| 0.00000783     5| 0.00000783     5| 0.00000783     5| 0.00000782     5| 0.00000782     5| 0.00000781     6| 0.00000780     6| 0.00000779     6| 0.00000779     6| 0.00000779     6| 0.00000780     6| 0.00000779     7| 0.00000779     7| 0.00000779     7| 0.00000779     7| 0.00000779     7| 0.00000779     7| 0.00000776   450
0.00000895| 0.00000855     2| 0.00000853     3| 0.00000857     4| 0.00000858     5| 0.00000857     6| 0.00000859     7| 0.00000859     7| 0.00000858     8| 0.00000857     9| 0.00000858     9| 0.00000858    10| 0.00000858    10| 0.00000858    10| 0.00000858    11| 0.00000857    11| 0.00000857    11| 0.00000857    12| 0.00000857    13| 0.00000857    13| 0.00000857    14| 0.00000857    14| 0.00000857    14| 0.00000857    15| 0.00000857    15| 0.00000857    15| 0.00000857    15| 0.00000856    16| 0.00000857    16| 0.00000857    16| 0.00000857    17| 0.00000857    17| 0.00000851   292
0.00000985| 0.00000948     3| 0.00000945     4| 0.00000945     6| 0.00000947     7| 0.00000946     8| 0.00000945     9| 0.00000945    10| 0.00000944    11| 0.00000944    12| 0.00000944    12| 0.00000944    13| 0.00000944    14| 0.00000943    14| 0.00000942    15| 0.00000943    16| 0.00000943    16| 0.00000943    17| 0.00000943    17| 0.00000943    18| 0.00000943    18| 0.00000943    19| 0.00000943    19| 0.00000943    19| 0.00000943    19| 0.00000943    20| 0.00000943    21| 0.00000944    22| 0.00000944    22| 0.00000944    22| 0.00000944    23| 0.00000944    23| 0.00000937   223
0.00001083| 0.00001035     5| 0.00001031     8| 0.00001032    10| 0.00001033    11| 0.00001034    13| 0.00001034    14| 0.00001036    15| 0.00001037    18| 0.00001038    19| 0.00001038    20| 0.00001040    23| 0.00001040    23| 0.00001038    26| 0.00001037    28| 0.00001037    30| 0.00001037    32| 0.00001039    34| 0.00001039    35| 0.00001040    37| 0.00001040    38| 0.00001040    39| 0.00001039    42| 0.00001039    43| 0.00001039    44| 0.00001039    46| 0.00001038    46| 0.00001039    48| 0.00001038    54| 0.00001037    56| 0.00001037    57| 0.00001037    58| 0.00001032   804
0.00001192| 0.00001136     5| 0.00001143    13| 0.00001137    18| 0.00001136    20| 0.00001135    25| 0.00001136    29| 0.00001137    33| 0.00001137    36| 0.00001136    40| 0.00001137    43| 0.00001137    44| 0.00001138    47| 0.00001138    48| 0.00001139    52| 0.00001139    55| 0.00001139    59| 0.00001139    62| 0.00001140    66| 0.00001140    68| 0.00001140    69| 0.00001140    72| 0.00001140    73| 0.00001140    76| 0.00001140    80| 0.00001139    85| 0.00001140    87| 0.00001139    90| 0.00001139    90| 0.00001139    93| 0.00001140    98| 0.00001140    99| 0.00001136   713
0.00001311| 0.00001254     9| 0.00001249    16| 0.00001250    23| 0.00001250    27| 0.00001251    31| 0.00001251    40| 0.00001252    43| 0.00001252    48| 0.00001253    58| 0.00001253    64| 0.00001253    69| 0.00001252    73| 0.00001252    78| 0.00001252    81| 0.00001252    84| 0.00001252    91| 0.00001252    93| 0.00001252    96| 0.00001252    99| 0.00001251   101| 0.00001253   105| 0.00001253   109| 0.00001253   113| 0.00001254   116| 0.00001254   124| 0.00001254   127| 0.00001254   130| 0.00001255   133| 0.00001255   138| 0.00001254   145| 0.00001254   147| 0.00001252   745
0.00001442| 0.00001376    12| 0.00001375    23| 0.00001377    34| 0.00001376    39| 0.00001379    45| 0.00001378    55| 0.00001376    62| 0.00001377    71| 0.00001376    75| 0.00001376    86| 0.00001375    91| 0.00001376    98| 0.00001376   109| 0.00001376   113| 0.00001375   117| 0.00001375   121| 0.00001375   126| 0.00001375   128| 0.00001375   131| 0.00001375   135| 0.00001374   139| 0.00001374   140| 0.00001375   149| 0.00001376   153| 0.00001375   156| 0.00001375   159| 0.00001375   163| 0.00001375   166| 0.00001375   170| 0.00001376   175| 0.00001376   182| 0.00001377   753
0.00001586| 0.00001519    16| 0.00001517    37| 0.00001519    46| 0.00001519    59| 0.00001518    67| 0.00001519    80| 0.00001519    91| 0.00001516    98| 0.00001515   106| 0.00001515   111| 0.00001515   117| 0.00001518   126| 0.00001517   133| 0.00001518   138| 0.00001517   143| 0.00001516   147| 0.00001516   153| 0.00001515   159| 0.00001516   162| 0.00001516   168| 0.00001516   174| 0.00001516   176| 0.00001515   181| 0.00001515   185| 0.00001515   193| 0.00001515   200| 0.00001515   207| 0.00001515   209| 0.00001515   212| 0.00001515   215| 0.00001515   218| 0.00001513   772
